Peak Power,Aver Power,Temp,CE_Row,CE_Col,CE_Cell,UER_Row,UER_Col,UER_Cell,UEO_Row,UEO_Col,UEO_Cell,All_Row,All_Col,All_Cell,SID_0,SID_1,NumType,CE_Row_cell_number,UER_Row_cell_number,UEO_Row_cell_number,All_Row_cell_number,label_row_p1h_l0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1.036677418,1.035688311,0.992300485,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1.036440283,1.035546769,0.992538103,1,1,2,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,1,0
1.036084317,1.035273663,0.992717644,1,1,3,0,0,0,0,0,0,1,1,3,1,0,1,1,0,0,1,0
1.0358423,1.034647481,0.993970122,1,1,4,0,0,0,0,0,0,1,1,4,1,0,1,1,0,0,1,0
1.034646274,1.033097822,0.996472477,1,1,5,0,0,0,0,0,0,1,1,5,1,0,1,1,0,0,1,0
1.031688283,1.030521125,1.003146386,1,1,6,0,0,0,0,0,0,1,1,6,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,0,0,0,0,0,0,176,1,176,176,1,176,0,1,1,0,0,1,1,0
1,1,1,0,0,0,0,0,0,1409,1,1409,1409,1,1409,0,1,1,0,0,1,1,0
1,1,1,16,4,16,0,0,0,0,0,0,16,4,16,1,0,1,1,0,0,1,0
1,1,1,14,3,14,0,0,0,0,0,0,14,3,14,1,0,1,1,0,0,1,0
1,1,1,13,6,13,0,0,0,0,0,0,13,6,13,1,0,1,1,0,0,1,0
1,1,1,13,3,13,0,0,0,0,0,0,13,3,13,1,0,1,1,0,0,1,0
1,1,1,2,2,2,0,0,0,0,0,0,2,2,2,1,0,1,1,0,0,1,0
1,1,1,17,4,17,0,0,0,0,0,0,17,4,17,1,0,1,1,0,0,1,0
